userId,movieId,rating
1,2,4.0
1,3,5.0
1,4,4.0
1,5,5.0
1,6,4.0
1,9,2.0
1,10,4.0
1,11,3.0
1,12,3.0
1,16,5.0
1,17,4.0
1,18,4.0
1,19,5.0
1,20,4.0
1,21,1.0
1,22,3.0
1,23,4.0
1,25,1.0
2,2,5.0
2,5,4.0
2,6,5.0
2,7,5.0
2,8,5.0
2,10,4.0
2,11,4.0
2,15,4.0
2,17,1.0
2,18,3.0
2,19,5.0
2,20,5.0
2,22,4.0
2,23,3.0
2,24,2.0
3,1,2.0
3,2,5.0
3,4,5.0
3,5,3.0
3,6,4.0
3,7,5.0
3,8,4.0
3,9,3.0
3,10,3.0
3,11,1.0
3,12,4.0
3,13,1.0
3,14,4.0
3,16,5.0
3,17,2.0
3,18,4.0
3,19,4.0
3,20,5.0
3,22,3.0
3,23,3.0
3,24,3.0
3,25,1.0
4,2,4.0
4,5,2.0
4,6,3.0
4,9,5.0
4,10,2.0
4,11,1.0
4,12,5.0
4,13,1.0
4,18,4.0
4,19,5.0
4,20,4.0
4,22,5.0
4,23,4.0
4,24,1.0
4,25,1.0
5,1,5.0
5,2,2.0
5,3,5.0
5,4,4.0
5,5,4.0
5,6,3.0
5,7,4.0
5,8,4.0
5,9,2.0
5,11,5.0
5,12,5.0
5,14,4.0
5,15,5.0
5,17,4.0
5,18,5.0
5,19,5.0
5,20,4.0
5,21,1.0
5,22,4.0
5,23,4.0
5,24,1.0
5,25,1.0
6,1,4.0
6,3,4.0
6,4,4.0
6,7,4.0
6,10,5.0
6,11,1.0
6,14,3.0
6,15,4.0
6,16,5.0
6,18,3.0
6,19,3.0
6,22,4.0
6,23,5.0
6,25,3.0
7,2,4.0
7,4,3.0
7,5,4.0
7,6,4.0
7,7,4.0
7,8,2.0
7,10,2.0
7,11,4.0
7,12,3.0
7,13,1.0
7,15,4.0
7,19,3.0
7,22,4.0
7,23,4.0
7,24,2.0
8,2,3.0
8,3,1.0
8,4,4.0
8,5,5.0
8,6,5.0
8,7,5.0
8,8,3.0
8,10,3.0
8,11,4.0
8,12,5.0
8,14,4.0
8,15,4.0
8,16,5.0
8,18,4.0
8,19,5.0
8,20,4.0
8,22,4.0
8,23,5.0
9,1,4.0
9,3,5.0
9,4,4.0
9,5,3.0
9,6,5.0
9,7,5.0
9,8,3.0
9,9,1.0
9,10,5.0
9,11,4.0
9,12,4.0
9,13,1.0
9,14,5.0
9,16,5.0
9,17,3.0
9,18,4.0
9,19,5.0
9,20,4.0
9,21,2.0
9,22,5.0
9,23,5.0
9,24,4.0
9,25,3.0
10,2,3.0
10,3,5.0
10,5,4.0
10,6,5.0
10,7,5.0
10,8,1.0
10,10,2.0
10,11,4.0
10,12,4.0
10,13,1.0
10,14,4.0
10,15,4.0
10,16,5.0
10,17,2.0
10,18,4.0
10,19,5.0
10,20,5.0
10,22,4.0
10,23,5.0
10,24,3.0
11,2,5.0
11,4,3.0
11,5,5.0
11,6,5.0
11,7,3.0
11,9,2.0
11,10,4.0
11,11,2.0
11,18,5.0
11,19,5.0
11,22,4.0
11,23,5.0
12,2,4.0
12,4,4.0
12,5,5.0
12,6,5.0
12,7,4.0
12,8,3.0
12,9,2.0
12,10,4.0
12,11,3.0
12,12,5.0
12,14,5.0
12,15,4.0
12,18,3.0
12,19,5.0
12,20,5.0
12,22,5.0
12,23,5.0
12,25,2.0
13,2,4.0
13,4,3.0
13,5,3.0
13,6,5.0
13,7,3.0
13,8,2.0
13,9,2.0
13,10,3.0
13,11,3.0
13,12,4.0
13,13,2.0
13,14,4.0
13,16,4.0
13,17,1.0
13,18,4.0
13,19,4.0
13,20,5.0
13,21,1.0
13,22,4.0
13,23,4.0
13,24,4.0
13,25,2.0
14,2,4.0
14,4,4.0
14,5,3.0
14,6,5.0
14,8,3.0
14,9,1.0
14,10,4.0
14,11,2.0
14,18,3.0
14,19,3.0
14,22,4.0
14,23,5.0
15,1,2.0
15,2,1.0
15,3,5.0
15,4,2.0
15,5,3.0
15,6,3.0
15,7,3.0
15,8,2.0
15,9,1.0
15,10,3.0
15,11,1.0
15,12,5.0
15,13,3.0
15,14,5.0
15,15,3.0
15,16,4.0
15,17,3.0
15,18,2.0
15,19,4.0
15,20,3.0
15,21,1.0
15,22,4.0
15,23,3.0
15,24,3.0
16,2,5.0
16,4,5.0
16,5,3.0
16,6,5.0
16,7,5.0
16,9,1.0
16,10,4.0
16,11,1.0
16,12,5.0
16,14,5.0
16,15,3.0
16,18,3.0
16,19,5.0
16,20,5.0
16,21,1.0
16,22,5.0
16,23,4.0
16,24,4.0
16,25,2.0
17,6,4.0
17,10,1.0
17,11,3.0
17,17,1.0
17,18,3.0
17,23,4.0
18,1,4.0
18,3,3.0
18,4,4.0
18,5,3.0
18,6,5.0
18,7,3.0
18,8,5.0
18,10,4.0
18,11,1.0
18,12,4.0
18,13,1.0
18,14,5.0
18,15,2.0
18,16,4.0
18,17,3.0
18,18,2.0
18,19,5.0
18,20,4.0
18,22,2.0
18,23,4.0
18,24,1.0
18,25,1.0
19,1,3.0
19,2,4.0
19,6,4.0
19,7,4.0
19,8,5.0
19,18,4.0
19,19,5.0
19,20,4.0
19,22,5.0
19,23,4.0
19,24,4.0
20,2,3.0
20,3,3.0
20,4,3.0
20,5,4.0
20,6,4.0
20,8,3.0
20,9,1.0
20,11,2.0
20,12,3.0
20,14,4.0
20,16,2.0
20,17,2.0
20,18,3.0
20,20,4.0
20,22,5.0
20,23,4.0
20,25,2.0
21,2,2.0
21,3,3.0
21,4,4.0
21,5,3.0
21,6,5.0
21,7,3.0
21,8,2.0
21,9,1.0
21,10,5.0
21,11,5.0
21,12,3.0
21,14,3.0
21,15,4.0
21,16,5.0
21,17,1.0
21,18,5.0
21,19,5.0
21,20,5.0
21,21,1.0
21,22,4.0
21,23,5.0
21,24,2.0
21,25,2.0
22,1,2.0
22,2,1.0
22,3,1.0
22,4,5.0
22,5,4.0
22,6,4.0
22,7,3.0
22,8,4.0
22,9,1.0
22,10,3.0
22,11,4.0
22,12,5.0
22,14,3.0
22,15,3.0
22,16,5.0
22,17,2.0
22,18,2.0
22,19,5.0
22,22,2.0
22,23,4.0
22,25,1.0
23,1,5.0
23,2,4.0
23,4,5.0
23,5,3.0
23,6,1.0
23,7,4.0
23,8,2.0
23,10,5.0
23,11,2.0
23,14,3.0
23,18,3.0
23,19,5.0
23,20,4.0
23,21,1.0
23,22,5.0
23,23,4.0
23,24,2.0
23,25,2.0
24,6,4.0
24,8,3.0
24,9,1.0
24,10,3.0
24,11,2.0
24,12,2.0
24,14,4.0
24,17,2.0
24,18,3.0
24,19,5.0
24,20,5.0
24,23,5.0
25,1,4.0
25,2,4.0
25,3,5.0
25,4,4.0
25,5,3.0
25,6,4.0
25,7,4.0
25,8,5.0
25,9,1.0
25,10,3.0
25,11,3.0
25,12,3.0
25,13,5.0
25,14,3.0
25,17,1.0
25,18,4.0
25,19,5.0
25,20,5.0
25,22,5.0
25,23,5.0
25,24,2.0
25,25,2.0
